rank;hitYear;week;album
48;2025;18;DARK BLOOD
65;2025;18;ROMANCE : UNTOLD -daydream-
76;2025;18;DIMENSION : ANSWER
51;2025;17;DARK BLOOD
55;2025;17;ORANGE BLOOD
69;2025;17;BORDER : DAY ONE
54;2025;16;ROMANCE : UNTOLD -daydream-
65;2025;16;DARK BLOOD
66;2025;16;DIMENSION : DILEMMA
85;2025;16;ORANGE BLOOD
88;2025;16;BORDER : CARNIVAL
89;2025;16;MANIFESTO : DAY 1
28;2025;15;ROMANCE : UNTOLD
55;2025;15;BORDER : CARNIVAL
69;2025;15;ORANGE BLOOD
80;2025;15;DARK BLOOD
83;2025;15;DIMENSION : DILEMMA
93;2025;15;MANIFESTO : DAY 1
7;2025;14;ROMANCE : UNTOLD
69;2025;14;BORDER : CARNIVAL
86;2025;14;ORANGE BLOOD
90;2025;14;DARK BLOOD
44;2025;13;DIMENSION : DILEMMA
52;2025;13;ROMANCE : UNTOLD -daydream-
57;2025;13;DARK BLOOD
69;2025;13;DIMENSION : ANSWER
82;2025;13;ORANGE BLOOD
18;2025;12;ROMANCE : UNTOLD
58;2025;12;DARK BLOOD
72;2025;12;DIMENSION : ANSWER
94;2025;12;DIMENSION : DILEMMA
39;2025;11;ROMANCE : UNTOLD
79;2025;11;ROMANCE : UNTOLD -daydream- (Weverse)
86;2025;11;DIMENSION : DILEMMA
97;2025;11;ROMANCE : UNTOLD -daydream-
28;2025;10;ROMANCE : UNTOLD
40;2025;10;ROMANCE : UNTOLD -daydream-
46;2025;10;ORANGE BLOOD
64;2025;10;DIMENSION : DILEMMA
66;2025;10;MANIFESTO : DAY 1
76;2025;10;DARK BLOOD
93;2025;10;DIMENSION : ANSWER
60;2025;9;ROMANCE : UNTOLD -daydream-
65;2025;9;ROMANCE : UNTOLD
73;2025;9;DARK BLOOD
87;2025;9;DIMENSION : DILEMMA
90;2025;9;DIMENSION : ANSWER
30;2025;8;ROMANCE : UNTOLD
68;2025;8;DIMENSION : DILEMMA
72;2025;8;DARK BLOOD
86;2025;8;ORANGE BLOOD
89;2025;8;ROMANCE : UNTOLD -daydream-
32;2025;7;ROMANCE : UNTOLD
39;2025;7;DARK BLOOD
54;2025;7;MANIFESTO : DAY 1
58;2025;7;ROMANCE : UNTOLD -daydream-
75;2025;7;DIMENSION : ANSWER
79;2025;7;DIMENSION : DILEMMA
87;2025;7;BORDER : DAY ONE
91;2025;7;BORDER : CARNIVAL
39;2025;6;ROMANCE : UNTOLD
45;2025;6;ROMANCE : UNTOLD -daydream-
46;2025;6;DIMENSION : DILEMMA
70;2025;6;DARK BLOOD
20;2025;5;ROMANCE : UNTOLD -daydream-
29;2025;5;ROMANCE : UNTOLD
30;2025;5;DARK BLOOD
41;2025;5;ORANGE BLOOD
72;2025;5;MANIFESTO : DAY 1
74;2025;5;BORDER : DAY ONE
91;2025;5;BORDER : CARNIVAL
28;2025;4;ROMANCE : UNTOLD
31;2025;4;ROMANCE : UNTOLD -daydream-
78;2025;4;DARK BLOOD
83;2025;4;DIMENSION : DILEMMA
98;2025;4;DIMENSION : ANSWER
54;2025;3;ROMANCE : UNTOLD
94;2025;3;DARK BLOOD
10;2025;2;ROMANCE : UNTOLD
12;2025;2;ROMANCE : UNTOLD -daydream-
64;2025;2;ROMANCE : UNTOLD -daydream- (Weverse)
72;2025;2;DIMENSION : DILEMMA
73;2025;2;MANIFESTO : DAY 1
78;2025;2;DARK BLOOD
81;2025;2;ORANGE BLOOD
