event;date
BORDER : DAY ONE;30/11/2020
BORDER : CARNIVAL;26/04/2021
DIMENSION : DILEMMA;12/10/2021
ENHYPEN TV Debut (US);24/11/2021
DIMENSION : ANSWER;10/01/2022
ENHYPEN's First Webtoon Series, DARK MOON : The Blood Altar;16/01/2022
"ENHYPEN's First Japanese drama OST, ""Always""";22/02/2022
ENHYPEN's first Indonesian TV debut, Tokopedia;20/04/2022
ENHYPEN’s First overseas schedule (K.pop Flex);14/05/2022
MANIFESTO : DAY 1;04/07/2022
ENHYPEN at Kcon LA (first USA performance);20/08/2022
Manifesto World Tour Began;17/09/2022
Manifesto Asia Tour Began;28/01/2023
Music Bank Paris;08/04/2023
WeBridge Music Festival, Las Vegas;22/04/2023
DARK BLOOD;22/05/2023
Fate Tour in Seoul Began;29/07/2023
Dark Moon Special Stage at Lotte World;28/09/2023
Fate Tour in USA;06/10/2023
ORANGE BLOOD;17/11/2023
DARK MOON SPECIAL ALBUM ? MEMORABILIA ?;13/05/2024
ROMANCE : UNTOLD;12/07/2024
Walk The Line Tour Began;05/10/2024
ROMANCE : UNTOLD -daydream-;11/11/2024
Coachella;12/04/2025
