album,track,popularity
DESIRE : UNLEASH,Flashover,69
DESIRE : UNLEASH,Bad Desire (With or Without You),81
DESIRE : UNLEASH,Outside,76
DESIRE : UNLEASH,Loose (Korean Ver.),66
DESIRE : UNLEASH,Helium,74
DESIRE : UNLEASH,Too Close,72
DESIRE : UNLEASH,Bad Desire (With or Without You) (English Ver.),76
DESIRE : UNLEASH,Loose,70
ROMANCE : UNTOLD -daydream-,Daydream,68
ROMANCE : UNTOLD -daydream-,No Doubt,77
ROMANCE : UNTOLD -daydream-,Moonstruck,61
ROMANCE : UNTOLD -daydream-,XO (Only If You Say Yes),60
ROMANCE : UNTOLD -daydream-,Your Eyes Only,57
ROMANCE : UNTOLD -daydream-,Hundred Broken Hearts,56
ROMANCE : UNTOLD -daydream-,Brought The Heat Back,60
ROMANCE : UNTOLD -daydream-,Paranormal,56
ROMANCE : UNTOLD -daydream-,Royalty,55
ROMANCE : UNTOLD -daydream-,Highway 1009,57
ROMANCE : UNTOLD -daydream-,XO (Only If You Say Yes) (English Ver.) Feat. JVKE,53
ROMANCE : UNTOLD,Moonstruck,75
ROMANCE : UNTOLD,XO (Only If You Say Yes),76
ROMANCE : UNTOLD,Your Eyes Only,66
ROMANCE : UNTOLD,Hundred Broken Hearts,63
ROMANCE : UNTOLD,Brought The Heat Back,73
ROMANCE : UNTOLD,Paranormal,65
ROMANCE : UNTOLD,Royalty,62
ROMANCE : UNTOLD,Highway 1009,65
ROMANCE : UNTOLD,XO (Only If You Say Yes) (English Ver.) Feat. JVKE,60
ORANGE BLOOD,Mortal,56
ORANGE BLOOD,Sweet Venom,73
ORANGE BLOOD,Still Monster,67
ORANGE BLOOD,Blind,64
ORANGE BLOOD,Orange Flower (You Complete Me),63
ORANGE BLOOD,Sweet Venom (English Ver.),59
ORANGE BLOOD,Sweet Venom (feat. Bella Poarch),50
定め,Future Perfect (Pass the MIC) - Japanese Ver.,48
定め,Blessed-Cursed - Japanese Ver.,46
定め,Make the change,48
定め,Tamed-Dashed - Japanese Ver.,45
定め,Drunk-Dazed - Japanese Ver.,45
定め,Given-Taken - Japanese Ver.,44
定め,Always,50
定め,Let Me In (20 CUBE) - Japanese Ver.,43
定め,Forget Me Not,47
DIMENSION : ANSWER,Intro : Whiteout,44
DIMENSION : ANSWER,Tamed-Dashed,54
DIMENSION : ANSWER,Upper Side Dreamin’,50
DIMENSION : ANSWER,Just A Little Bit,50
DIMENSION : ANSWER,Go Big or Go Home,55
DIMENSION : ANSWER,Blockbuster feat. YEONJUN of TOMORROW X TOGETHER,49
DIMENSION : ANSWER,"Attention, please!",49
DIMENSION : ANSWER,Interlude : Question,44
DIMENSION : ANSWER,Blessed-Cursed,66
